name,nii_file,nii_file_id,4dvolind
15_to_37,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,37
15_to_38,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,38
15_to_39,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,39
15_to_40,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,40
15_to_41,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,41
15_to_42,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,42
15_to_43,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,43
15_to_44,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,44
15_to_45,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,45
15_to_46,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,46
15_to_47,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,47
15_to_48,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,48
15_to_49,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,49
15_to_50,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,50
15_to_51,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,51
15_to_52,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,52
15_to_53,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,53
15_to_54,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,54
15_to_55,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,55
15_to_56,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,56
15_to_57,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,57
15_to_58,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,58
15_to_59,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,59
15_to_60,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,60
15_to_61,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,61
15_to_62,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,62
15_to_63,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,63
15_to_64,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,64
15_to_65,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,65
