xmin,xmax,ymin,ymax,zmin,zmax
44,72,22,100,3,72
18,55,12,100,3,55
38,70,27,59,0,70
24,54,24,61,0,54
41,56,22,96,30,56
31,47,25,94,33,47
47,64,18,66,17,64
24,44,22,69,14,44
27,63,9,48,26,63
23,66,53,101,24,66
45,72,13,100,18,72
18,46,8,99,23,46
46,76,13,76,13,76
12,42,12,74,13,42
36,79,20,82,17,79
10,38,20,85,18,38
47,72,49,100,18,72
17,43,57,97,17,43
36,79,20,95,17,79
10,38,33,79,18,38
